Brazil,Sao Paulo,Rio de Janeiro,Salvador,Brasilia,Fortaleza,Belo Horizonte,Manaus,Curitiba,Recife,Porto Alegre
Argentina,Buenos Aires,Cordoba,Rosario,Mendoza,San Miguel de Tucuman,La Plata,Mar del Plata,Santa Fe,San Juan,Resistencia
Colombia,Bogotá,Medellín,Cali,Barranquilla,Cartagena,Cúcuta,Bucaramanga,Pereira,Santa Marta,Ibagué
Peru,Lima,Arequipa,Trujillo,Chiclayo,Huancayo,Piura,Iquitos,Cusco,Chimbote,Tacna
Venezuela,Caracas,Maracaibo,Valencia,Barquisimeto,Maracay,San Cristobal,Barcelona,Maturin,Ciudad Guayana,Puerto La Cruz
Chile,Santiago,Valparaíso,Concepción,Antofagasta,Vina del Mar,Temuco,Rancagua,Talca,Arica,Chillán
Ecuador,Quito,Guayaquil,Cuenca,Santo Domingo,Machala,Duran,Manta,Portoviejo,Ambato,Loja
Bolivia,La Paz,Santa Cruz de la Sierra,Cochabamba,El Alto,Oruro,Sucre,Tarija,Potosí,Sacaba,Mizque
Paraguay,Asunción,Ciudad del Este,San Lorenzo,Luque,Capiatá,Lambaré,Fernando de la Mora,Limpio,Ñemby,Encarnación
Uruguay,Montevideo,Salto,Ciudad de la Costa,Paysandú,Las Piedras,Rivera,Maldonado,Tacuarembó,Melo,Mercedes
Guyana,Georgetown,Linden,New Amsterdam,Bartica,Skeldon,Anna Regina,Rosignol,Mahdia,Corriverton,Mabaruma
Suriname,Paramaribo,Lelydorp,Nieuw Nickerie,Moengo,Nieuw Amsterdam,Mariënburg,Albina,Onverwacht,Wageningen,Brownsweg
French Guiana,Cayenne,Matoury,Saint-Laurent-du-Maroni,Kourou,Remire-Montjoly,Macouria,Mana,Apatou,Grand-Santi,Sinnamary
Falkland Islands,Stanley,Stanley,Stanley,Stanley,Stanley,Stanley,Stanley,Stanley,Stanley,Stanley